"komentar","label","preprocessedKomentar"
"sebenarnya cukup kecewa dengan keadaan jalan karena tidak ada polisi","negatif","benar cukup kecewa ada jalan polisi"
"kecewa dengan kinerja polisi","negatif","kecewa kinerja polisi"
"kecewa polisi malas mengungkap kejahatan","negatif","kecewa polisi malas ungkap jahat"
"sedih polisi tangguhkan pelaku pengeroyokan tempat hiburan malam","negatif","sedih polisi tangguh laku keroyok tempat hibur malam"
"masyarakat kecewa dengan polisi","negatif","masyarakat kecewa polisi"
"orator aksi kecewa dihalau polisi","negatif","orator aksi kecewa halau polisi"
"jangan terlalu berharap banyak dari polisi ujungnya kecewa","negatif","jangan lalu harap banyak polisi ujung kecewa"
"tak berharap banyak dari polisi nanti kecewa","negatif","tak harap banyak polisi kecewa"
"keluarga tabrak lari kecewa laporan ke polisi tidak direspon","negatif","keluarga tabrak lari kecewa lapor polisi direspon"
"kecewa banget sama polisi","negatif","kecewa banget sama polisi"
"saya kecewa polisi menetapkan tersangka yang salah","negatif","kecewa polisi tetap sangka salah"
"saya termasuk orang yang kecewa dengan polisi","negatif","masuk orang kecewa polisi"
"melihat sikap polisi beberapa waktu ini jadi kecewa","negatif","lihat sikap polisi beberapa waktu jadi kecewa"
"saya kecewa dan marah karena Polisi tidak melanjutkan kasus tersebut","negatif","kecewa marah polisi lanjut kasus sebut"
"pasti pak polisi bisa membantu bapak","positif","pak polisi bantu bapak"
"yang lebih buat saya kecewa adalah tindakan polisi","negatif","lebih buat kecewa tindak polisi"
"kecewa dengan pihak polisi kenapa jadi serumit ini","negatif","kecewa pihak polisi jadi rumit"
"kecewa polisi belum tangkap pelaku","negatif","kecewa polisi tangkap laku"
"Pelaku Penyerangan Tak Kunjung Ditangkap rakyat Kecewa sama Polisi","negatif","laku serang tak kunjung tangkap rakyat kecewa sama polisi"
"Ketiga korban persekusi mengaku kecewa dengan Kepala Pos Polisi","negatif","tiga korban persekusi aku kecewa kepala pos polisi"
"polisi jujur adil dan tegas","positif","polisi jujur adil tegas"
"Ini sungguh tidak adil brengsek kalian polisi","negatif","sungguh adil brengsek kalian polisi"
"Yang jujur dan adil ya pak Polisi semoga amanah dan sukses","positif","jujur adil pak polisi moga amanah sukses"
"perlu aparat kepolisian demi menjaga keamanan kedamaian","positif","perlu aparat polisi jaga aman damai"
"keren sekali pak polisi menjaga pemilu aman damai jujur dan adil","positif","keren kali pak polisi jaga milu aman damai jujur adil"
"Polisi harus segera usut dan proses dengan adil","positif","polisi segera usut proses adil"
"Polisi ini memang biang masalah","negatif","polisi memang biang masalah"
"Jadilah polisi yang amanah jujur adil","positif","jadi polisi amanah jujur adil"
"dari dulu polisi itu menakutkan","negatif","dulu polisi takut"
"Jadi polisi harus jujur dan adil","positif","jadi polisi jujur adil"
"Polisi itu baik jujur dan adil","positif","polisi baik jujur adil"
"Saya yakin Polisi sebagai pengayom masyarakat akan dapat benar-benar menjadi kebanggaan rakyat Indonesia","positif","yakin polisi ayom masyarakat benar jadi bangga rakyat indonesia"
"Dan penegak hukum sangat adil polisi semua jujur","positif","tegak hukum sangat adil polisi semua jujur"
"Polisi kita jujur membela rakyat kecil","positif","polisi jujur bela rakyat kecil"
"saya yakin Polisi Kita bersih dari uang haram","positif","yakin polisi bersih uang haram"
"polisi kita bersih jujur dan adil","positif","polisi bersih jujur adil"
"Dimana adanya polisi yang jujur","negatif","ada polisi jujur"
"tetap jadilah polisi yang jujur baik bijaksana dan adil dalam bertugas","positif","tetap jadi polisi jujur baik bijaksana adil tugas"
"Ikut senang cuma karena melihat kejujuran masih ada nilainya ternyata","positif","ikut senang cuma lihat jujur nilai nyata"
"Dan ternyata polisi jujur masih dan mau tulus minta maaf ada juga","positif","nyata polisi jujur mau tulus minta maaf"
"Polisi buktikan institusi polisi menegak kan adil jujur tanpa ada intimidasi dari pihak mana pun.","positif","polisi bukti institusi polisi tegak kan adil jujur intimidasi pihak mana"
"semakin tidak percaya dengan kinerja polisi sungguh tidak adil","negatif","makin percaya kinerja polisi sungguh adil"
"Teruntuk polisi-polisi yang jujur adil dan bekerja semaksimal mungkin saya ucapkan banyak terimakasih","positif","untuk polisi jujur adil kerja maksimal mungkin ucap banyak terimakasih"
"Sungguh polri mengecewakan rakyat","negatif","sungguh polri kecewa rakyat"
"Masih banyak polisi kita yang sangat jujur dan adil sopan ramah","positif","banyak polisi sangat jujur adil sopan ramah"
"saya dan mungkin jutaan orang mulai percaya pada polisi","positif","mungkin juta orang mulai percaya polisi"
"Polisi memang semestinya berani baik jujur dan berlaku adil","positif","polisi memang mesti berani baik jujur laku adil"
"kita rakyat pasti mendukung polisi yang jujur adil dan berani demi kebenaran","positif","rakyat dukung polisi jujur adil berani benar"
"Hukum indonesia butuh polisi yang jujur dan adil","positif","hukum indonesia butuh polisi jujur adil"
"Polisi harus jujur dan adil","positif","polisi jujur adil"
"Saya dukung selama kerja polisi jujur dan adil serta manusiawi","positif","dukung lama kerja polisi jujur adil manusiawi"
"Terima kasih karena Polri telah menjadi lembaga yang menjaga dan mewujudkan pemilu yang jujur dan adil","positif","terima kasih polri jadi lembaga jaga wujud milu jujur adil"
"Polisi Indonesia itu tegas jujur dan adil","positif","polisi indonesia tegas jujur adil"
"Terima kasih pak polisi sudah selalu jujur dan adil","positif","terima kasih pak polisi selalu jujur adil"
"Susah sekarang cari polisi yang jujur dan adil","positif","susah sekarang cari polisi jujur adil"
"permasalahan bangsa ini adalah Penegak Hukum atau Polisi saat ini TIDAK DIPERCAYA oleh Rakyat","negatif","masalah bangsa tegak hukum polisi percaya rakyat"
"Prihatin polisi yang jujur dan adil sudah sangat minim sekarang","negatif","prihatin polisi jujur adil sangat minim sekarang"
"tambahkan kinerja polisi jadilah polisi yang jujur adil melindungi rakyat","positif","tambah kinerja polisi jadi polisi jujur adil lindung rakyat"
"polisi harus bersikap adil dan benar dan yang penting jujur untuk kasus ini","positif","polisi sikap adil benar penting jujur kasus"
"Polisi zaman sakarang sudah JUJUR dan ADIL","positif","polisi zaman sakarang jujur adil"
"Masyarakat Indonesia semua senang ada polisi yang jujur dan adil","positif","masyarakat indonesia semua senang polisi jujur adil"
"senang sekali Polri gelar Bakti sosial untuk ringankan beban masyarakat","positif","senang kali polri gelar bakti sosial ringan beban masyarakat"
"Sepertinya sekarang polisi sudah jadi alat kekuasaan bukan lagi sebagai penegak hukum yang amanah jujur dan adil buat semua","negatif","seperti sekarang polisi jadi alat kuasa bukan tegak hukum amanah jujur adil buat semua"
"sebegitu saya mengagumi polisi tapi anda sebagai polisi tidak bekerja secara jujur dan adil tolong selesaikan sesuai hukum!","negatif","begitu kagum polisi polisi kerja jujur adil selesai suai hukum"
"Polri Bertindaklah jujur dan adil jangan sampai hukum dijadikan alat kekuasaan dan menindas mereka yang lemah","positif","polri tindak jujur adil jangan hukum jadi alat kuasa tindas lemah"
"menjadi Polisi yg baik jujur serta bisa berlaku Adil","positif","jadi polisi yang baik jujur laku adil"
"polisi menjalin silaturahmi dengan masyarakat sekaligus mendengarkan keluh kesah dan aspirasi masyarakat","positif","polisi jalin silaturahmi masyarakat sekaligus dengar keluh kesah aspirasi masyarakat"
"bekerja sebagai polisi punya integritas dan kinerja yang sangat baik dan bisa diandalkan.","positif","kerja polisi punya integritas kinerja sangat baik andal"
"sedih sekali polisi berulah menerima sogokan dari perusahaan","negatif","sedih kali polisi ulah terima sogok usaha"
"maka dari itu kinerja polisi sudah semakin baik","positif","kinerja polisi makin baik"
"Masyarakat Puas Atas Kinerja Polri Amankan Pemilu","positif","masyarakat puas atas kinerja polri aman milu"
"Masih percaya sama kinerja Polisi","positif","percaya sama kinerja polisi"
"Berhenti berharap dengan kinerja polisi lebih baik masyarakat yang bergerak","negatif","henti harap kinerja polisi lebih baik masyarakat gerak"
"saya benci kinerja polisi soal pencurian motor atau mobil","negatif","benci kinerja polisi soal curi motor mobil"
"yang terpenting semakin meningkatkan kinerja polisi","positif","penting makin tingkat kinerja polisi"
"lihat pak kinerja polisi hancur","negatif","lihat pak kinerja polisi hancur"
"apresiasi yang mendalam terhadap dedikasi dan kinerja yang luar biasa dari Polisi","positif","apresiasi dalam dedikasi kinerja luar biasa polisi"
"saya selalu sakit hati kalo mengingat kinerja polisi di negara sendiri","negatif","selalu sakit hati kalau ingat kinerja polisi negara sendiri"
"Hebat kinerja polisi dalam menangkap pelaku kriminal","positif","hebat kinerja polisi tangkap laku kriminal"
"sangat kecewa dengan kinerja polisi","negatif","sangat kecewa kinerja polisi"
"senang sekali dengan kinerja polisi yang mampu menangkap pengedar","positif","senang kali kinerja polisi mampu tangkap edar"
"salut dan bangga selalu dengan kinerja pak polisi Bersama Berantas Kriminalitas","positif","salut bangga selalu kinerja pak polisi sama berantas kriminalitas"
"Patut diapresiasi atas kinerja polisi yang bergerak cepat menangkap pengedar narkoba","positif","patut apresiasi atas kinerja polisi gerak cepat tangkap edar narkoba"
"salut sama kinerja bapak polisi yang selalu tanggap menyelesaikan berbagai masalah","positif","salut sama kinerja bapak polisi selalu tanggap selesai bagai masalah"
"apresiasi untuk polisi yang sudah berjasa dengan membongkar kasus narkoba","positif","apresiasi polisi jasa bongkar kasus menarkoba"
"Ayo Pak Polisi berantas habis para pelaku narkoba","positif","ayo pak polisi berantas habis laku menarkoba"
"Kami bangga sekali dengan kinerja polisi","positif","bangga kali kinerja polisi"
"Saya semakin yakin kinerja polri akan lebih baik polisi","positif","makin yakin kinerja polri lebih baik polisi"
"kecewa kinerja polisi buruk","negatif","kecewa kinerja polisi buruk"
"senang dengan kejujuran dan integritas yang kuat dalam tubuh Kepolisian.","positif","senang jujur integritas kuat tubuh polisi"
"jadi merasa aman karena Polisi ada dalam menjaga Keamanan dan Kenyamanan masyarakat","positif","jadi rasa aman polisi jaga aman nyaman masyarakat"
"polisi Kinerja kayak tai","negatif","polisi kinerja kayak tai"
"kinerja polisi di masa depan makin bagus","positif","kinerja polisi masa depan makin bagus"
"senang rasanya polisi mendengarkan keluh kesah masyarakat dan mengayomi masyarakat","positif","senang rasa polisi dengar keluh kesah masyarakat ayom masyarakat"
"mantul sekali kinerja polisi","positif","pantul kali kinerja polisi"
"Publik Puas Atas Kinerja Polisi","positif","publik puas atas kinerja polisi"
"Terima kasih pak polisi","positif","terima kasih pak polisi"
"Terima kasih Polisi yang baik","positif","terima kasih polisi baik"
"Alhamdulillah terima kasih pak polisi","positif","alhamdulillah terima kasih pak polisi"
"pak polisi terima kasih","positif","pak polisi terima kasih"
"Terima kasih pak kapolresta atas kepedulian terhadap Fasilitas Publik","positif","terima kasih pak kapolresta atas peduli fasilitas publik"
"Polisi peduli kebersihan keindahan Kota Terima kasih Pak","positif","polisi peduli bersih indah kota terima kasih pak"
"Terima kasih Polisi yang peduli kebersihan keindahan Kota","positif","terima kasih polisi peduli bersih indah kota"
"terima kasih pak polisi udah bersiap siaga mengamankan arus mudik balik semoga diberikan kesehatan dan kelancaran dalam bertugas","positif","terima kasih pak polisi udah siap siaga aman arus mudik balik moga beri sehat lancar tugas"
"Mantep betul polisi mempersiapkan dengan matang untuk lebaran tahun","positif","mantap betul polisi siap matang lebaran tahun"
"Terima kasih pak Polisi saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya","positif","terima kasih pak polisi pulang mudik macet lancar kali jalan"
"saya pulang mudik sudah tidak macet lagi lancar sekali perjalanan saya terima kasih pak polisi","positif","pulang mudik macet lancar kali jalan terima kasih pak polisi"
"alhamdulillah di mudik tahun sekarang sudah banyak kemajuan terima kasih pak polisi","positif","alhamdulillah mudik tahun sekarang banyak maju terima kasih pak polisi"
"mantap deh pokoknya pak polisi","positif","mantap deh pokok pak polisi"
"Terima kasih pak polisi semoga anda selalu diberi kesehatan dan dilancarkan rejekinya","positif","terima kasih pak polisi moga selalu beri sehat lancar rejeki"
"Terima kasih pak Polisi mudik lancar dan aman tanpa macet seperti tahun sebelumnya ditangani dengan baik dan luar biasa","positif","terima kasih pak polisi mudik lancar aman macet tahun belum tangan baik luar biasa"
"Terima kasih Pak Polisi sudah memberikan pelayanan terbaik kepada masyarakat","positif","terima kasih pak polisi beri layan baik masyarakat"
"Memang mantap penanganan mudik dari polisi","positif","memang mantap tangan mudik polisi"
"terima kasih pak polisi sehat selalu dalam melaksanakan tugasnya.","positif","terima kasih pak polisi sehat selalu laksana tugas"
"terima kasih pak polisi atas kinerjanya","positif","terima kasih pak polisi atas kinerja"
"kami masyarakat terima kasih atas pelayanannya pak polisi","positif","masyarakat terima kasih atas layan pak polisi"
"Terima kasih pak Polisi senang sekali mudik bisa lancar dan aman tanpa macet","positif","terima kasih pak polisi senang kali mudik lancar aman macet"
"Alhamdulillah mudik dijaga pak polisi terima kasih pak atas dedikasinya","positif","alhamdulillah mudik jaga pak polisi terima kasih pak atas dedikasi"
"Jangan Pernah Berhenti Berbuat Baik kepada Sesama Pak polisi","positif","jangan pernah henti buat baik sama pak polisi"
"kami mengucapkan terima kasih kepada seluruh jajaran Polri di seluruh Indonesia","positif","ucap terima kasih seluruh jajar polri seluruh indonesia"
"Terima kasih pak polisi telah memberikan rasa aman dan nyaman disetiap perjalanan kami.","positif","terima kasih pak polisi beri rasa aman nyaman tiap jalan"
"Terima kasih pak Polisi mudik tahun ini gak kena macet dan lacar banget pokoknya tetap semangat deh buat pak Polisi dalam bertugas.","positif","terima kasih pak polisi mudik tahun tidak kena macet lacar banget pokok tetap semangat deh buat pak polisi tugas"
"Mantap Mudik balik lebaran kami sekeluarga aman dan lancar","positif","mantap mudik balik lebaran keluarga aman lancar"
"terima kasih pak dan bu polisi yang bertugas","positif","terima kasih pak bu polisi tugas"
"hebat pak polisi Arus mudik balik lebaran aman dan nyaman Terima kasih polri","positif","hebat pak polisi arus mudik balik lebaran aman nyaman terima kasih polri"
"Terima kasih pak polisi yang ngatur jalan","positif","terima kasih pak polisi atur jalan"
"Terima kasih sudah menjaga keamanan dan kenyamanan","positif","terima kasih jaga aman nyaman"
"Terima kasih bapak polisi semua sehat terus pak","positif","terima kasih bapak polisi semua sehat terus pak"
"terima kasih bapak polisi telah siap sedia selalu untuk mengamankan semuanya dengan baik","positif","terima kasih bapak polisi siap sedia selalu aman semua baik"
"Terima kasih pak polisi yang selalu memberikan pelayanan terbaik kepada kami","positif","terima kasih pak polisi selalu beri layan baik"
"Terima Kasih Pak Polisi mudik jadi tenang aman terkendali","positif","terima kasih pak polisi mudik jadi tenang aman kendali"
"Terima kasih Pak polisi telah mengamankan Mudik kami","positif","terima kasih pak polisi aman mudik"
"terima kasih Polisi Indonesia dedikasimu melindungi masyarakat patut diacungi jempol","positif","terima kasih polisi indonesia dedikasi lindung masyarakat patut acung jempol"
"Terima kasih polisi wanita","positif","terima kasih polisi wanita"
"Terima Kasih Untuk Dukungannya Pak Polisi","positif","terima kasih dukung pak polisi"
"Terima Kasih Bapak Polisi","positif","terima kasih bapak polisi"
"Terima Kasih Ibu Polisi","positif","terima kasih ibu polisi"
"Terima kasih bu polisi","positif","terima kasih bu polisi"
"Terima kasih para polwan","positif","terima kasih polwan"
"Terima kasih polwan","positif","terima kasih polw"
"Polisi begini cepat tanggap dan peka Terima kasih pak polisi kalian sudah bekerja keras","positif","polisi begini cepat tanggap peka terima kasih pak polisi kalian kerja keras"
"Polisi begini nih cepat tanggap dan peka","positif","polisi begini ini cepat tanggap peka"
"Terima kasih pak polisi kalian sudah bekerja keras","positif","terima kasih pak polisi kalian kerja keras"
"Disaat kami terancam kalian ada untuk melindungi kita Terima kasih pak polisi dan pak TNI Semangat terus","positif","saat ancam kalian lindung terima kasih pak polisi pak tni semangat terus"
"Terima kasih pak polisi sudah mewakili kami semua","positif","terima kasih pak polisi wakil semua"
"Terima Kasih pak polisi terbaik","positif","terima kasih pak polisi baik"
"Semoga kepolisian makin profesional dalam tugasnya.","netral","moga polisi makin profesional tugas"
"Tugas polisi memang berat, semoga bisa lebih baik ke depannya.","netral","tugas polisi memang berat moga lebih baik depan"
"Keamanan itu penting, semoga polisi bisa tetap sigap!","netral","aman penting moga polisi tetap sigap"
"Polisi punya peran besar di masyarakat, semoga makin transparan!","netral","polisi punya peran besar masyarakat moga makin transparan"
"Setiap tugas pasti ada tantangannya, semoga polisi makin kompeten!","netral","tugas tantang moga polisi makin kompeten"
"Semoga semua laporan masyarakat ditindaklanjuti dengan cepat.","netral","moga semua lapor masyarakat ditindaklanjuti cepat"
"Polisi harus bisa menjaga ketertiban dengan adil.","netral","polisi jaga tertib adil"
"Setiap kasus pasti ada prosesnya, semoga ditangani dengan baik.","netral","kasus proses moga tangan baik"
"Kinerja kepolisian perlu dievaluasi secara berkala biar makin optimal!","netral","kinerja polisi perlu evaluasi kala biar makin optimal"
"Gimana pun juga, keamanan masyarakat ada di tangan polisi.","netral","gimana aman masyarakat tangan polisi"
"Semoga makin banyak polisi yang benar-benar menjalankan tugasnya dengan baik!","netral","moga makin banyak polisi benar jalan tugas baik"
"Masyarakat butuh kepolisian yang responsif dan tegas.","netral","masyarakat butuh polisi responsif tegas"
"Polisi perlu beradaptasi dengan perkembangan zaman biar makin efektif.","netral","polisi perlu adaptasi kembang zaman biar makin efektif"
"Menjaga keamanan bukan hal mudah, semangat buat kepolisian!","netral","jaga aman bukan mudah semangat buat polisi"
"Pelayanan kepolisian harus lebih cepat dan transparan!","netral","layan polisi lebih cepat transparan"
"Keamanan yang baik butuh kerja sama polisi dan masyarakat.","netral","aman baik butuh kerja sama polisi masyarakat"
"Polisi harus jadi contoh dalam menaati hukum.","netral","polisi jadi contoh taat hukum"
"Setiap kasus yang ditangani polisi harus jelas dan transparan.","netral","kasus tangan polisi jelas transparan"
"Semoga polisi bisa makin dekat dengan masyarakat!","netral","moga polisi makin dekat masyarakat"
"Profesionalitas dalam bertugas adalah kunci kepercayaan publik.","netral","profesionalitas tugas kunci percaya publik"
"Makin tegas, makin transparan, makin dipercaya!","netral","makin tegas makin transparan makin percaya"
"Tugas polisi berat, tapi tetap harus akuntabel!","netral","tugas polisi berat tetap akuntabel"
"Polisi juga manusia, tapi tetap harus menjalankan tugas dengan benar.","netral","polisi manusia tetap jalan tugas benar"
"Semoga makin banyak polisi yang jujur dan berintegritas!","netral","moga makin banyak polisi jujur integritas"
"Ketegasan polisi harus selalu seimbang dengan keadilan.","netral","tegas polisi selalu imbang adil"
"Penegakan hukum itu penting, semoga polisi bisa lebih baik lagi!","netral","tegak hukum penting moga polisi lebih baik"
"Harus ada perbaikan terus-menerus dalam sistem kepolisian.","netral","baik terus terus sistem polisi"
"Jangan lupa, polisi juga pelindung rakyat!","netral","jangan lupa polisi lindung rakyat"
"Pelayanan publik yang baik akan meningkatkan kepercayaan masyarakat.","netral","layan publik baik tingkat percaya masyarakat"
"Polisi yang baik pasti dicintai rakyat!","netral","polisi baik cinta rakyat"
"Semoga reformasi kepolisian terus berjalan ke arah yang lebih baik!","netral","moga reformasi polisi terus jalan arah lebih baik"
"Tugas berat polisi harus diimbangi dengan tanggung jawab yang besar.","netral","tugas berat polisi imbang tanggung jawab besar"
"Hukum harus ditegakkan tanpa pandang bulu, polisi punya peran besar!","netral","hukum tegak pandang bulu polisi punya peran besar"
"Polisi juga manusia, tapi tetap harus profesional dalam bekerja.","netral","polisi manusia tetap profesional kerja"
"Semakin cepat respons kepolisian, semakin baik untuk masyarakat.","netral","makin cepat respons polisi makin baik masyarakat"
"Kepolisian perlu lebih transparan dalam menangani kasus!","netral","polisi perlu lebih transparan tangan kasus"
"Penegakan hukum harus terus ditingkatkan demi keamanan bersama.","netral","tegak hukum terus tingkat aman sama"
"Kepolisian yang baik harus bisa melayani masyarakat dengan sepenuh hati.","netral","polisi baik layan masyarakat penuh hati"
"Setiap laporan harus ditindaklanjuti biar masyarakat merasa aman!","netral","lapor tindaklanjut biar masyarakat rasa aman"
"Kinerja polisi harus terus dievaluasi biar lebih efektif!","netral","kinerja polisi terus evaluasi biar lebih efektif"
"Ketegasan polisi penting, tapi jangan sampai merugikan masyarakat.","netral","tegas polisi penting jangan rugi masyarakat"
"Terima Kasih buat polisi yang membantu mengamankan","positif","terima kasih buat polisi bantu aman"
"terima kasih atas kinerjanya bapak polisi","positif","terima kasih atas kinerja bapak polisi"
"Terima kasih pak Polisi karena sudah menyelamatkan para korban","positif","terima kasih pak polisi selamat korban"
"Terima kasih Polres Serang sudah menjaga kondusifitas kotanya.","positif","terima kasih polres serang jaga kondusifitas kota"
"Keren terima kasih bapak polisi","positif","keren terima kasih bapak polisi"
"Good job Pak Polisi terima kasih sudah mengevakuasi pelaku","positif","good job pak polisi terima kasih evakuasi laku"
"Terima kasih pak polisi semoga cepat diusut tuntas.","positif","terima kasih pak polisi moga cepat usut tuntas"
"Terima kasih bapak polisi yang rela membantu warga","positif","terima kasih bapak polisi rela bantu warga"
"Sekali lagi terima kasih pak Polisi sudah menginspirasi kita semua","positif","kali terima kasih pak polisi inspirasi semua"
"terima kasih Bapak polisi yang sudah membantu","positif","terima kasih bapak polisi bantu"
"salut banget sama pak polisi terima kasih pak","positif","salut banget sama pak polisi terima kasih pak"
"Terima kasih pak polisi yang menjaga terus tanpa lelah","positif","terima kasih pak polisi jaga terus lelah"
"Terima kasih pak Polisi untuk kronologinya","positif","terima kasih pak polisi kronologi"
"Terima kasih Polri atas upaya yang dilakukan untuk menghormati jasa-jasa pahlawan kita","positif","terima kasih polri atas upaya laku hormat jasa pahlawan"
"Terima kasih pak Polisi yang sudah menjalankan tugasnya mengawal","positif","terima kasih pak polisi jalan tugas kawal"
"keren nih programnya terima kasih pak polisi terus Berkarya Berinovasi Mengayomi","positif","keren ini program terima kasih pak polisi terus karya inovasi ayom"
"Teruslah Berkarya Berinovasi Mengayomi terima kasih pak polisi sehat selalu","positif","terus karya inovasi ayom terima kasih pak polisi sehat selalu"
